author,quote,files
Steve Martin,Steve Martin,
Allen Saunders,Allen Saunders,
Bob Marley,Bob Marley,
George Eliot,George Eliot,
James Baldwin,James Baldwin,
George Bernard Shaw,George Bernard Shaw,
Dr. Seuss,Dr. Seuss,
Mark Twain,Mark Twain,
C.S. Lewis,C.S. Lewis,
George R.R. Martin,George R.R. Martin,
